Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Pumpkin,Middle Badia,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",15,10,15,3,no,25000,plantsha,30,Days,14,11,14,4,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR. Protected ",,,,,
Pumpkin,Middle Badia,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",15,3,15,10,no,20000,plantsha,50,Days,24,4,4,12,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR. open field ",,,,,
Sweet pepper,Middle Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",15,2,1,6,no,18000-20000,plantsha,153,Days,15,6,1,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR. Protected",,,,,
Cucumber,Middle Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in protected agric., 500 CWR",16,2,1,7,no,26000-28000,plantsha,92,Days,1,4,1,10,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in protected agric., 500 CWR. Protected ",,,,,
Cucumber,Middle Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., 500 CWR",1,3,15,4,no,20000,plantsha,95,Days,20,4,19,7,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., 500 CWR. Open field ",,,,,
Watermelon,Middle Badia,"yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370",15,3,15,6,no,10000-14000,plantsha,150,Days,13,6,12,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Melon,Middle Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",15,3,15,5,no,20000,plantsha,120,Days,13,6,12,9,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Lettuce,Middle Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR",10,1,30,10,no,100000,plantsha,60,Days,10,3,29,12,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR. Open field",,,,,
Jew's Mallow,Middle Badia,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",1,5,1,7,no,50,kg/ha,50,Days,30,6,20,8,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171. Open field ",,,,,
Okra,Middle Badia,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7, ",20,3,20,4,no,35000,plantsha,61,Days,3,6,20,6,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7. Open field",,,,,
Spinach,Middle Badia,"All types of soil with good drainage, irrigated, productivity 2-3",5,2,1,4,no,200000,plantsha,55,Days,5,4,26,5,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","All types of soil with good drainage, irrigated, productivity 2-3. Open field",,,,,
Tomato,Southern Badia,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR",1,7,1,11,no,24000-26000,plantsha,60,Days,1,9,1,4,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR. Protected",,,,,
Tomato,Southern Badia,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 11 ton for protected and 6 ton for open field, 600 CWR",1,3,1,7,no,24000-26000,plantsha,60,Days,1,5,1,12,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 11 ton for protected and 6 ton for open field, 600 CWR. Open field ",,,,,
Pumpkin,Southern Badia,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",1,2,1,5,no,12000,seedlings/ha,30,Days,1,3,1,9,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR. Open field ",,,,,
Pumpkin,Southern Badia,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field,  450 CWR",1,7,1,10,no,12000,seedlings/ha,60,Days,1,9,1,12,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field,  450 CWR. Open field ",,,,,
Cauliflower,Southern Badia,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR",1,3,1,9,no,50000,seedlings/ha,30,Days,1,4,1,10,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR. Open field ",,,,,
Eggplant,Southern Badia,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR",1,4,1,6,no,12000-14000,seedlings/ha,30,Days,1,6,1,10,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR. Open field ",,,,,
Sweet pepper,Southern Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",1,2,1,3,no,25000,plantsha,60,Days,1,4,1,7,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR. Protected",,,,,
